id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
315,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,arvore,L. intermedia,7,5,2,mestrado
316,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. intermedia,107,55,52,mestrado
317,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. migonei,5,4,1,mestrado
318,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. fischeri,6,5,1,mestrado
319,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,parede_externa,L. intermedia,11,8,3,mestrado
320,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,parede_externa,L. migonei,2,0,2,mestrado
321,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,parede_externa,L. fischeri,3,1,2,mestrado
322,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,bananal_tronco,L. fischeri,1,1,0,mestrado
323,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,floresta_tronco,L. intermedia,5,5,0,mestrado
324,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,floresta_tronco,L. fischeri,1,1,0,mestrado
325,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,floresta_isca_humana,L. intermedia,2,2,0,mestrado
326,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,floresta_isca_humana,L. fischeri,5,5,0,mestrado
327,01/10/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,floresta_isca_humana,L. sp,2,2,0,mestrado
328,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. intermedia,207,126,81,mestrado
329,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. migonei,6,3,3,mestrado
330,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. fischeri,2,1,1,mestrado
331,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. intermedia,74,56,18,mestrado
332,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. migonei,2,1,1,mestrado
333,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. fischeri,1,1,0,mestrado
334,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. intermedia,156,81,75,mestrado
335,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. fischeri,2,1,1,mestrado
336,01/11/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. whitmani,1,0,1,mestrado
